Versao,Imagem,N_Threads,Repeticao,Tempo_IO_ms,Tempo_Comp_ms,Contador_Final
sequencial,testes/xadrez_512.pgm,1,1,0.348,0.047,131072
sequencial,testes/xadrez_512.pgm,1,2,0.285,0.037,131072
sequencial,testes/xadrez_512.pgm,1,3,0.248,0.037,131072
sequencial,testes/xadrez_1920.pgm,1,1,4.259,0.321,1036800
sequencial,testes/xadrez_1920.pgm,1,2,2.222,0.303,1036800
sequencial,testes/xadrez_1920.pgm,1,3,1.589,0.299,1036800
sequencial,testes/xadrez_4096.pgm,1,1,29.904,2.451,8388608
sequencial,testes/xadrez_4096.pgm,1,2,12.145,2.483,8388608
sequencial,testes/xadrez_4096.pgm,1,3,10.256,2.596,8388608
sequencial,testes/xadrez_8192.pgm,1,1,116.390,10.101,33554432
sequencial,testes/xadrez_8192.pgm,1,2,48.854,9.876,33554432
sequencial,testes/xadrez_8192.pgm,1,3,40.002,10.094,33554432
sequencial,testes/metade_4096.pgm,1,1,17.323,2.537,12582912
sequencial,testes/metade_4096.pgm,1,2,12.339,2.605,12582912
sequencial,testes/metade_4096.pgm,1,3,10.336,2.541,12582912
horizontal,testes/xadrez_512.pgm,1,1,0.325,0.218,131072
horizontal,testes/xadrez_512.pgm,1,2,0.271,0.169,131072
horizontal,testes/xadrez_512.pgm,1,3,0.270,0.170,131072
horizontal,testes/xadrez_512.pgm,2,1,0.269,0.266,131072
horizontal,testes/xadrez_512.pgm,2,2,0.359,0.246,131072
horizontal,testes/xadrez_512.pgm,2,3,0.375,0.266,131072
horizontal,testes/xadrez_512.pgm,4,1,0.281,0.350,131072
horizontal,testes/xadrez_512.pgm,4,2,0.325,0.353,131072
horizontal,testes/xadrez_512.pgm,4,3,0.279,0.490,131072
horizontal,testes/xadrez_512.pgm,8,1,0.290,0.622,131072
horizontal,testes/xadrez_512.pgm,8,2,0.259,0.618,131072
horizontal,testes/xadrez_512.pgm,8,3,0.278,0.666,131072
horizontal,testes/xadrez_512.pgm,12,1,0.267,0.995,131072
horizontal,testes/xadrez_512.pgm,12,2,0.290,1.022,131072
horizontal,testes/xadrez_512.pgm,12,3,0.269,0.957,131072
horizontal,testes/xadrez_512.pgm,16,1,0.270,1.295,131072
horizontal,testes/xadrez_512.pgm,16,2,0.327,1.361,131072
horizontal,testes/xadrez_512.pgm,16,3,0.269,1.434,131072
horizontal,testes/xadrez_1920.pgm,1,1,1.363,0.490,1036800
horizontal,testes/xadrez_1920.pgm,1,2,1.272,0.610,1036800
horizontal,testes/xadrez_1920.pgm,1,3,1.397,0.440,1036800
horizontal,testes/xadrez_1920.pgm,2,1,1.382,0.412,1036800
horizontal,testes/xadrez_1920.pgm,2,2,1.379,0.410,1036800
horizontal,testes/xadrez_1920.pgm,2,3,1.325,0.452,1036800
horizontal,testes/xadrez_1920.pgm,4,1,1.414,0.522,1036800
horizontal,testes/xadrez_1920.pgm,4,2,1.295,0.432,1036800
horizontal,testes/xadrez_1920.pgm,4,3,1.209,0.466,1036800
horizontal,testes/xadrez_1920.pgm,8,1,1.341,0.771,1036800
horizontal,testes/xadrez_1920.pgm,8,2,1.363,0.686,1036800
horizontal,testes/xadrez_1920.pgm,8,3,1.393,0.724,1036800
horizontal,testes/xadrez_1920.pgm,12,1,1.339,0.946,1036800
horizontal,testes/xadrez_1920.pgm,12,2,1.352,0.984,1036800
horizontal,testes/xadrez_1920.pgm,12,3,1.343,1.032,1036800
horizontal,testes/xadrez_1920.pgm,16,1,1.355,1.454,1036800
horizontal,testes/xadrez_1920.pgm,16,2,1.314,1.532,1036800
horizontal,testes/xadrez_1920.pgm,16,3,1.346,1.292,1036800
horizontal,testes/xadrez_4096.pgm,1,1,10.535,2.697,8388608
horizontal,testes/xadrez_4096.pgm,1,2,10.227,2.852,8388608
horizontal,testes/xadrez_4096.pgm,1,3,10.380,2.704,8388608
horizontal,testes/xadrez_4096.pgm,2,1,10.051,1.820,8388608
horizontal,testes/xadrez_4096.pgm,2,2,10.394,1.434,8388608
horizontal,testes/xadrez_4096.pgm,2,3,10.493,1.656,8388608
horizontal,testes/xadrez_4096.pgm,4,1,10.465,1.513,8388608
horizontal,testes/xadrez_4096.pgm,4,2,10.392,1.110,8388608
horizontal,testes/xadrez_4096.pgm,4,3,10.144,1.128,8388608
horizontal,testes/xadrez_4096.pgm,8,1,10.165,1.251,8388608
horizontal,testes/xadrez_4096.pgm,8,2,10.710,1.198,8388608
horizontal,testes/xadrez_4096.pgm,8,3,10.376,1.275,8388608
horizontal,testes/xadrez_4096.pgm,12,1,10.241,1.287,8388608
horizontal,testes/xadrez_4096.pgm,12,2,10.167,1.291,8388608
horizontal,testes/xadrez_4096.pgm,12,3,10.009,1.253,8388608
horizontal,testes/xadrez_4096.pgm,16,1,10.244,1.473,8388608
horizontal,testes/xadrez_4096.pgm,16,2,10.105,1.564,8388608
horizontal,testes/xadrez_4096.pgm,16,3,10.372,1.618,8388608
horizontal,testes/xadrez_8192.pgm,1,1,46.024,10.325,33554432
horizontal,testes/xadrez_8192.pgm,1,2,41.157,10.332,33554432
horizontal,testes/xadrez_8192.pgm,1,3,39.931,10.508,33554432
horizontal,testes/xadrez_8192.pgm,2,1,39.932,5.430,33554432
horizontal,testes/xadrez_8192.pgm,2,2,39.381,5.541,33554432
horizontal,testes/xadrez_8192.pgm,2,3,39.511,5.442,33554432
horizontal,testes/xadrez_8192.pgm,4,1,40.427,3.243,33554432
horizontal,testes/xadrez_8192.pgm,4,2,40.249,3.153,33554432
horizontal,testes/xadrez_8192.pgm,4,3,41.141,3.225,33554432
horizontal,testes/xadrez_8192.pgm,8,1,39.771,3.135,33554432
horizontal,testes/xadrez_8192.pgm,8,2,39.776,2.933,33554432
horizontal,testes/xadrez_8192.pgm,8,3,39.279,3.322,33554432
horizontal,testes/xadrez_8192.pgm,12,1,39.504,3.211,33554432
horizontal,testes/xadrez_8192.pgm,12,2,39.314,2.931,33554432
horizontal,testes/xadrez_8192.pgm,12,3,38.821,3.001,33554432
horizontal,testes/xadrez_8192.pgm,16,1,39.769,2.884,33554432
horizontal,testes/xadrez_8192.pgm,16,2,39.107,2.803,33554432
horizontal,testes/xadrez_8192.pgm,16,3,39.411,2.535,33554432
horizontal,testes/metade_4096.pgm,1,1,10.395,2.907,12582912
horizontal,testes/metade_4096.pgm,1,2,10.290,3.062,12582912
horizontal,testes/metade_4096.pgm,1,3,9.986,2.692,12582912
horizontal,testes/metade_4096.pgm,2,1,10.072,1.718,12582912
horizontal,testes/metade_4096.pgm,2,2,10.597,1.607,12582912
horizontal,testes/metade_4096.pgm,2,3,10.299,1.490,12582912
horizontal,testes/metade_4096.pgm,4,1,10.407,1.105,12582912
horizontal,testes/metade_4096.pgm,4,2,10.486,1.160,12582912
horizontal,testes/metade_4096.pgm,4,3,11.650,1.769,12582912
horizontal,testes/metade_4096.pgm,8,1,12.436,1.391,12582912
horizontal,testes/metade_4096.pgm,8,2,10.848,1.163,12582912
horizontal,testes/metade_4096.pgm,8,3,10.324,1.214,12582912
horizontal,testes/metade_4096.pgm,12,1,10.494,1.294,12582912
horizontal,testes/metade_4096.pgm,12,2,10.191,1.308,12582912
horizontal,testes/metade_4096.pgm,12,3,10.268,1.311,12582912
horizontal,testes/metade_4096.pgm,16,1,10.545,1.443,12582912
horizontal,testes/metade_4096.pgm,16,2,10.239,1.555,12582912
horizontal,testes/metade_4096.pgm,16,3,10.129,1.534,12582912
vertical,testes/xadrez_512.pgm,1,1,0.270,0.164,131072
vertical,testes/xadrez_512.pgm,1,2,0.290,0.194,131072
vertical,testes/xadrez_512.pgm,1,3,0.282,0.174,131072
vertical,testes/xadrez_512.pgm,2,1,0.277,0.213,131072
vertical,testes/xadrez_512.pgm,2,2,0.263,0.212,131072
vertical,testes/xadrez_512.pgm,2,3,0.321,0.240,131072
vertical,testes/xadrez_512.pgm,4,1,0.268,0.361,131072
vertical,testes/xadrez_512.pgm,4,2,0.268,0.348,131072
vertical,testes/xadrez_512.pgm,4,3,0.275,0.376,131072
vertical,testes/xadrez_512.pgm,8,1,0.291,0.662,131072
vertical,testes/xadrez_512.pgm,8,2,0.291,0.763,131072
vertical,testes/xadrez_512.pgm,8,3,0.283,0.714,131072
vertical,testes/xadrez_512.pgm,12,1,0.265,0.922,131072
vertical,testes/xadrez_512.pgm,12,2,0.279,0.979,131072
vertical,testes/xadrez_512.pgm,12,3,0.275,0.944,131072
vertical,testes/xadrez_512.pgm,16,1,0.267,1.338,131072
vertical,testes/xadrez_512.pgm,16,2,0.323,1.285,131072
vertical,testes/xadrez_512.pgm,16,3,0.271,1.285,131072
vertical,testes/xadrez_1920.pgm,1,1,1.350,0.512,1036800
vertical,testes/xadrez_1920.pgm,1,2,1.362,0.452,1036800
vertical,testes/xadrez_1920.pgm,1,3,1.385,0.444,1036800
vertical,testes/xadrez_1920.pgm,2,1,1.417,0.416,1036800
vertical,testes/xadrez_1920.pgm,2,2,1.334,0.465,1036800
vertical,testes/xadrez_1920.pgm,2,3,1.438,0.380,1036800
vertical,testes/xadrez_1920.pgm,4,1,1.342,0.462,1036800
vertical,testes/xadrez_1920.pgm,4,2,1.447,0.451,1036800
vertical,testes/xadrez_1920.pgm,4,3,1.228,0.485,1036800
vertical,testes/xadrez_1920.pgm,8,1,1.381,0.840,1036800
vertical,testes/xadrez_1920.pgm,8,2,1.363,0.730,1036800
vertical,testes/xadrez_1920.pgm,8,3,1.379,0.707,1036800
vertical,testes/xadrez_1920.pgm,12,1,1.319,1.064,1036800
vertical,testes/xadrez_1920.pgm,12,2,1.493,1.035,1036800
vertical,testes/xadrez_1920.pgm,12,3,1.300,1.074,1036800
vertical,testes/xadrez_1920.pgm,16,1,1.549,1.288,1036800
vertical,testes/xadrez_1920.pgm,16,2,1.366,1.266,1036800
vertical,testes/xadrez_1920.pgm,16,3,1.371,1.857,1036800
vertical,testes/xadrez_4096.pgm,1,1,10.155,2.817,8388608
vertical,testes/xadrez_4096.pgm,1,2,10.301,2.704,8388608
vertical,testes/xadrez_4096.pgm,1,3,10.160,2.689,8388608
vertical,testes/xadrez_4096.pgm,2,1,10.246,2.098,8388608
vertical,testes/xadrez_4096.pgm,2,2,10.052,2.335,8388608
vertical,testes/xadrez_4096.pgm,2,3,10.084,2.191,8388608
vertical,testes/xadrez_4096.pgm,4,1,10.697,1.849,8388608
vertical,testes/xadrez_4096.pgm,4,2,10.379,1.673,8388608
vertical,testes/xadrez_4096.pgm,4,3,9.991,1.593,8388608
vertical,testes/xadrez_4096.pgm,8,1,10.311,1.600,8388608
vertical,testes/xadrez_4096.pgm,8,2,9.999,1.539,8388608
vertical,testes/xadrez_4096.pgm,8,3,10.037,1.503,8388608
vertical,testes/xadrez_4096.pgm,12,1,10.164,1.873,8388608
vertical,testes/xadrez_4096.pgm,12,2,10.161,1.647,8388608
vertical,testes/xadrez_4096.pgm,12,3,10.152,1.597,8388608
vertical,testes/xadrez_4096.pgm,16,1,10.303,1.811,8388608
vertical,testes/xadrez_4096.pgm,16,2,10.244,1.897,8388608
vertical,testes/xadrez_4096.pgm,16,3,10.284,1.723,8388608
vertical,testes/xadrez_8192.pgm,1,1,40.413,11.066,33554432
vertical,testes/xadrez_8192.pgm,1,2,39.640,10.462,33554432
vertical,testes/xadrez_8192.pgm,1,3,39.709,10.804,33554432
vertical,testes/xadrez_8192.pgm,2,1,40.133,6.615,33554432
vertical,testes/xadrez_8192.pgm,2,2,40.124,6.478,33554432
vertical,testes/xadrez_8192.pgm,2,3,39.664,6.794,33554432
vertical,testes/xadrez_8192.pgm,4,1,39.825,4.329,33554432
vertical,testes/xadrez_8192.pgm,4,2,39.868,4.245,33554432
vertical,testes/xadrez_8192.pgm,4,3,39.961,4.365,33554432
vertical,testes/xadrez_8192.pgm,8,1,39.909,3.744,33554432
vertical,testes/xadrez_8192.pgm,8,2,39.959,3.735,33554432
vertical,testes/xadrez_8192.pgm,8,3,39.517,3.710,33554432
vertical,testes/xadrez_8192.pgm,12,1,39.817,5.081,33554432
vertical,testes/xadrez_8192.pgm,12,2,40.012,5.309,33554432
vertical,testes/xadrez_8192.pgm,12,3,39.836,5.136,33554432
vertical,testes/xadrez_8192.pgm,16,1,39.199,5.216,33554432
vertical,testes/xadrez_8192.pgm,16,2,39.564,5.298,33554432
vertical,testes/xadrez_8192.pgm,16,3,39.563,5.259,33554432
vertical,testes/metade_4096.pgm,1,1,10.659,2.774,12582912
vertical,testes/metade_4096.pgm,1,2,10.163,3.059,12582912
vertical,testes/metade_4096.pgm,1,3,10.210,2.773,12582912
vertical,testes/metade_4096.pgm,2,1,10.848,2.213,12582912
vertical,testes/metade_4096.pgm,2,2,10.301,2.152,12582912
vertical,testes/metade_4096.pgm,2,3,10.357,2.149,12582912
vertical,testes/metade_4096.pgm,4,1,10.611,1.566,12582912
vertical,testes/metade_4096.pgm,4,2,10.175,1.780,12582912
vertical,testes/metade_4096.pgm,4,3,10.171,1.641,12582912
vertical,testes/metade_4096.pgm,8,1,10.512,1.497,12582912
vertical,testes/metade_4096.pgm,8,2,10.466,1.702,12582912
vertical,testes/metade_4096.pgm,8,3,10.432,1.516,12582912
vertical,testes/metade_4096.pgm,12,1,10.735,1.524,12582912
vertical,testes/metade_4096.pgm,12,2,10.374,1.489,12582912
vertical,testes/metade_4096.pgm,12,3,10.542,1.604,12582912
vertical,testes/metade_4096.pgm,16,1,10.731,1.663,12582912
vertical,testes/metade_4096.pgm,16,2,10.685,1.844,12582912
vertical,testes/metade_4096.pgm,16,3,10.211,1.739,12582912
tiling_static,testes/xadrez_512.pgm,1,1,0.325,0.197,131072
tiling_static,testes/xadrez_512.pgm,1,2,0.266,0.173,131072
tiling_static,testes/xadrez_512.pgm,1,3,0.289,0.174,131072
tiling_static,testes/xadrez_512.pgm,2,1,0.281,0.286,131072
tiling_static,testes/xadrez_512.pgm,2,2,0.263,0.248,131072
tiling_static,testes/xadrez_512.pgm,2,3,0.259,0.234,131072
tiling_static,testes/xadrez_512.pgm,4,1,0.267,0.354,131072
tiling_static,testes/xadrez_512.pgm,4,2,0.279,0.355,131072
tiling_static,testes/xadrez_512.pgm,4,3,0.274,0.338,131072
tiling_static,testes/xadrez_512.pgm,8,1,0.273,0.618,131072
tiling_static,testes/xadrez_512.pgm,8,2,0.284,0.604,131072
tiling_static,testes/xadrez_512.pgm,8,3,0.263,0.646,131072
tiling_static,testes/xadrez_512.pgm,12,1,0.274,0.972,131072
tiling_static,testes/xadrez_512.pgm,12,2,0.266,0.924,131072
tiling_static,testes/xadrez_512.pgm,12,3,0.260,1.018,131072
tiling_static,testes/xadrez_512.pgm,16,1,0.272,1.314,131072
tiling_static,testes/xadrez_512.pgm,16,2,0.268,1.303,131072
tiling_static,testes/xadrez_512.pgm,16,3,0.301,1.323,131072
tiling_static,testes/xadrez_1920.pgm,1,1,1.322,0.613,1036800
tiling_static,testes/xadrez_1920.pgm,1,2,1.396,1.120,1036800
tiling_static,testes/xadrez_1920.pgm,1,3,1.276,0.626,1036800
tiling_static,testes/xadrez_1920.pgm,2,1,1.343,0.834,1036800
tiling_static,testes/xadrez_1920.pgm,2,2,1.399,0.497,1036800
tiling_static,testes/xadrez_1920.pgm,2,3,1.245,0.480,1036800
tiling_static,testes/xadrez_1920.pgm,4,1,1.361,0.634,1036800
tiling_static,testes/xadrez_1920.pgm,4,2,1.386,0.609,1036800
tiling_static,testes/xadrez_1920.pgm,4,3,1.264,0.493,1036800
tiling_static,testes/xadrez_1920.pgm,8,1,1.312,0.781,1036800
tiling_static,testes/xadrez_1920.pgm,8,2,1.410,0.961,1036800
tiling_static,testes/xadrez_1920.pgm,8,3,1.277,0.785,1036800
tiling_static,testes/xadrez_1920.pgm,12,1,1.385,1.137,1036800
tiling_static,testes/xadrez_1920.pgm,12,2,1.364,1.169,1036800
tiling_static,testes/xadrez_1920.pgm,12,3,1.394,0.951,1036800
tiling_static,testes/xadrez_1920.pgm,16,1,1.281,1.513,1036800
tiling_static,testes/xadrez_1920.pgm,16,2,1.632,1.277,1036800
tiling_static,testes/xadrez_1920.pgm,16,3,1.234,1.417,1036800
tiling_static,testes/xadrez_4096.pgm,1,1,11.201,9.800,8388608
tiling_static,testes/xadrez_4096.pgm,1,2,10.121,9.518,8388608
tiling_static,testes/xadrez_4096.pgm,1,3,10.162,9.878,8388608
tiling_static,testes/xadrez_4096.pgm,2,1,10.346,5.638,8388608
tiling_static,testes/xadrez_4096.pgm,2,2,10.002,4.946,8388608
tiling_static,testes/xadrez_4096.pgm,2,3,9.889,4.978,8388608
tiling_static,testes/xadrez_4096.pgm,4,1,10.597,2.790,8388608
tiling_static,testes/xadrez_4096.pgm,4,2,10.097,2.729,8388608
tiling_static,testes/xadrez_4096.pgm,4,3,10.001,2.711,8388608
tiling_static,testes/xadrez_4096.pgm,8,1,10.508,2.111,8388608
tiling_static,testes/xadrez_4096.pgm,8,2,9.940,2.204,8388608
tiling_static,testes/xadrez_4096.pgm,8,3,11.846,2.144,8388608
tiling_static,testes/xadrez_4096.pgm,12,1,10.234,2.278,8388608
tiling_static,testes/xadrez_4096.pgm,12,2,10.134,2.497,8388608
tiling_static,testes/xadrez_4096.pgm,12,3,9.921,2.433,8388608
tiling_static,testes/xadrez_4096.pgm,16,1,10.466,2.174,8388608
tiling_static,testes/xadrez_4096.pgm,16,2,10.253,2.399,8388608
tiling_static,testes/xadrez_4096.pgm,16,3,10.025,2.034,8388608
tiling_static,testes/xadrez_8192.pgm,1,1,57.482,37.684,33554432
tiling_static,testes/xadrez_8192.pgm,1,2,40.394,37.841,33554432
tiling_static,testes/xadrez_8192.pgm,1,3,39.335,37.592,33554432
tiling_static,testes/xadrez_8192.pgm,2,1,40.088,18.825,33554432
tiling_static,testes/xadrez_8192.pgm,2,2,39.200,20.131,33554432
tiling_static,testes/xadrez_8192.pgm,2,3,39.359,19.397,33554432
tiling_static,testes/xadrez_8192.pgm,4,1,40.269,10.101,33554432
tiling_static,testes/xadrez_8192.pgm,4,2,39.625,9.953,33554432
tiling_static,testes/xadrez_8192.pgm,4,3,39.899,10.063,33554432
tiling_static,testes/xadrez_8192.pgm,8,1,39.417,6.229,33554432
tiling_static,testes/xadrez_8192.pgm,8,2,39.401,6.408,33554432
tiling_static,testes/xadrez_8192.pgm,8,3,39.599,6.494,33554432
tiling_static,testes/xadrez_8192.pgm,12,1,39.961,7.624,33554432
tiling_static,testes/xadrez_8192.pgm,12,2,39.822,7.746,33554432
tiling_static,testes/xadrez_8192.pgm,12,3,39.964,5.119,33554432
tiling_static,testes/xadrez_8192.pgm,16,1,39.643,6.285,33554432
tiling_static,testes/xadrez_8192.pgm,16,2,43.141,6.030,33554432
tiling_static,testes/xadrez_8192.pgm,16,3,40.784,6.920,33554432
tiling_static,testes/metade_4096.pgm,1,1,10.651,10.741,12582912
tiling_static,testes/metade_4096.pgm,1,2,10.284,9.692,12582912
tiling_static,testes/metade_4096.pgm,1,3,10.177,10.044,12582912
tiling_static,testes/metade_4096.pgm,2,1,10.164,5.050,12582912
tiling_static,testes/metade_4096.pgm,2,2,10.336,5.062,12582912
tiling_static,testes/metade_4096.pgm,2,3,10.231,5.017,12582912
tiling_static,testes/metade_4096.pgm,4,1,10.717,2.799,12582912
tiling_static,testes/metade_4096.pgm,4,2,10.368,2.869,12582912
tiling_static,testes/metade_4096.pgm,4,3,10.112,2.619,12582912
tiling_static,testes/metade_4096.pgm,8,1,10.426,2.123,12582912
tiling_static,testes/metade_4096.pgm,8,2,10.188,2.135,12582912
tiling_static,testes/metade_4096.pgm,8,3,10.122,1.968,12582912
tiling_static,testes/metade_4096.pgm,12,1,10.530,2.561,12582912
tiling_static,testes/metade_4096.pgm,12,2,10.240,1.995,12582912
tiling_static,testes/metade_4096.pgm,12,3,10.125,2.235,12582912
tiling_static,testes/metade_4096.pgm,16,1,10.340,2.262,12582912
tiling_static,testes/metade_4096.pgm,16,2,10.124,2.284,12582912
tiling_static,testes/metade_4096.pgm,16,3,10.045,2.275,12582912
tiling_dynamic,testes/xadrez_512.pgm,1,1,0.268,0.177,131072
tiling_dynamic,testes/xadrez_512.pgm,1,2,0.245,0.191,131072
tiling_dynamic,testes/xadrez_512.pgm,1,3,0.276,0.196,131072
tiling_dynamic,testes/xadrez_512.pgm,2,1,0.273,0.189,131072
tiling_dynamic,testes/xadrez_512.pgm,2,2,0.333,0.264,131072
tiling_dynamic,testes/xadrez_512.pgm,2,3,0.285,0.257,131072
tiling_dynamic,testes/xadrez_512.pgm,4,1,0.263,0.340,131072
tiling_dynamic,testes/xadrez_512.pgm,4,2,0.259,0.339,131072
tiling_dynamic,testes/xadrez_512.pgm,4,3,0.267,0.355,131072
tiling_dynamic,testes/xadrez_512.pgm,8,1,0.266,0.629,131072
tiling_dynamic,testes/xadrez_512.pgm,8,2,0.352,0.582,131072
tiling_dynamic,testes/xadrez_512.pgm,8,3,0.282,0.834,131072
tiling_dynamic,testes/xadrez_512.pgm,12,1,0.277,0.913,131072
tiling_dynamic,testes/xadrez_512.pgm,12,2,0.283,0.935,131072
tiling_dynamic,testes/xadrez_512.pgm,12,3,0.283,0.893,131072
tiling_dynamic,testes/xadrez_512.pgm,16,1,0.260,1.260,131072
tiling_dynamic,testes/xadrez_512.pgm,16,2,0.290,1.276,131072
tiling_dynamic,testes/xadrez_512.pgm,16,3,0.304,1.226,131072
tiling_dynamic,testes/xadrez_1920.pgm,1,1,1.487,1.538,1036800
tiling_dynamic,testes/xadrez_1920.pgm,1,2,1.514,0.538,1036800
tiling_dynamic,testes/xadrez_1920.pgm,1,3,1.272,0.796,1036800
tiling_dynamic,testes/xadrez_1920.pgm,2,1,1.351,0.527,1036800
tiling_dynamic,testes/xadrez_1920.pgm,2,2,1.277,1.410,1036800
tiling_dynamic,testes/xadrez_1920.pgm,2,3,1.448,0.610,1036800
tiling_dynamic,testes/xadrez_1920.pgm,4,1,1.266,0.481,1036800
tiling_dynamic,testes/xadrez_1920.pgm,4,2,1.375,0.647,1036800
tiling_dynamic,testes/xadrez_1920.pgm,4,3,1.283,0.491,1036800
tiling_dynamic,testes/xadrez_1920.pgm,8,1,1.429,0.645,1036800
tiling_dynamic,testes/xadrez_1920.pgm,8,2,1.316,0.750,1036800
tiling_dynamic,testes/xadrez_1920.pgm,8,3,1.396,0.651,1036800
tiling_dynamic,testes/xadrez_1920.pgm,12,1,1.475,1.122,1036800
tiling_dynamic,testes/xadrez_1920.pgm,12,2,1.351,1.133,1036800
tiling_dynamic,testes/xadrez_1920.pgm,12,3,1.271,0.973,1036800
tiling_dynamic,testes/xadrez_1920.pgm,16,1,1.377,1.333,1036800
tiling_dynamic,testes/xadrez_1920.pgm,16,2,1.443,1.311,1036800
tiling_dynamic,testes/xadrez_1920.pgm,16,3,1.327,1.558,1036800
tiling_dynamic,testes/xadrez_4096.pgm,1,1,10.227,10.699,8388608
tiling_dynamic,testes/xadrez_4096.pgm,1,2,10.209,9.971,8388608
tiling_dynamic,testes/xadrez_4096.pgm,1,3,10.462,9.850,8388608
tiling_dynamic,testes/xadrez_4096.pgm,2,1,10.367,5.657,8388608
tiling_dynamic,testes/xadrez_4096.pgm,2,2,10.067,6.217,8388608
tiling_dynamic,testes/xadrez_4096.pgm,2,3,10.181,4.056,8388608
tiling_dynamic,testes/xadrez_4096.pgm,4,1,10.332,3.879,8388608
tiling_dynamic,testes/xadrez_4096.pgm,4,2,10.103,4.200,8388608
tiling_dynamic,testes/xadrez_4096.pgm,4,3,10.059,4.135,8388608
tiling_dynamic,testes/xadrez_4096.pgm,8,1,10.201,2.705,8388608
tiling_dynamic,testes/xadrez_4096.pgm,8,2,10.052,2.710,8388608
tiling_dynamic,testes/xadrez_4096.pgm,8,3,10.148,2.811,8388608
tiling_dynamic,testes/xadrez_4096.pgm,12,1,10.326,2.573,8388608
tiling_dynamic,testes/xadrez_4096.pgm,12,2,10.212,2.565,8388608
tiling_dynamic,testes/xadrez_4096.pgm,12,3,10.074,2.719,8388608
tiling_dynamic,testes/xadrez_4096.pgm,16,1,10.982,2.582,8388608
tiling_dynamic,testes/xadrez_4096.pgm,16,2,10.078,2.519,8388608
tiling_dynamic,testes/xadrez_4096.pgm,16,3,9.932,2.694,8388608
tiling_dynamic,testes/xadrez_8192.pgm,1,1,39.646,38.866,33554432
tiling_dynamic,testes/xadrez_8192.pgm,1,2,39.468,37.489,33554432
tiling_dynamic,testes/xadrez_8192.pgm,1,3,40.232,39.112,33554432
tiling_dynamic,testes/xadrez_8192.pgm,2,1,41.617,22.661,33554432
tiling_dynamic,testes/xadrez_8192.pgm,2,2,40.751,22.340,33554432
tiling_dynamic,testes/xadrez_8192.pgm,2,3,40.976,27.237,33554432
tiling_dynamic,testes/xadrez_8192.pgm,4,1,40.855,15.297,33554432
tiling_dynamic,testes/xadrez_8192.pgm,4,2,40.478,14.699,33554432
tiling_dynamic,testes/xadrez_8192.pgm,4,3,40.411,14.815,33554432
tiling_dynamic,testes/xadrez_8192.pgm,8,1,40.794,8.671,33554432
tiling_dynamic,testes/xadrez_8192.pgm,8,2,40.548,8.586,33554432
tiling_dynamic,testes/xadrez_8192.pgm,8,3,40.684,8.393,33554432
tiling_dynamic,testes/xadrez_8192.pgm,12,1,41.198,6.768,33554432
tiling_dynamic,testes/xadrez_8192.pgm,12,2,40.859,6.754,33554432
tiling_dynamic,testes/xadrez_8192.pgm,12,3,40.850,6.699,33554432
tiling_dynamic,testes/xadrez_8192.pgm,16,1,41.025,6.859,33554432
tiling_dynamic,testes/xadrez_8192.pgm,16,2,40.677,6.699,33554432
tiling_dynamic,testes/xadrez_8192.pgm,16,3,41.063,6.728,33554432
tiling_dynamic,testes/metade_4096.pgm,1,1,10.754,10.800,12582912
tiling_dynamic,testes/metade_4096.pgm,1,2,10.422,10.635,12582912
tiling_dynamic,testes/metade_4096.pgm,1,3,10.517,10.235,12582912
tiling_dynamic,testes/metade_4096.pgm,2,1,10.901,6.364,12582912
tiling_dynamic,testes/metade_4096.pgm,2,2,10.421,6.412,12582912
tiling_dynamic,testes/metade_4096.pgm,2,3,10.396,7.053,12582912
tiling_dynamic,testes/metade_4096.pgm,4,1,10.873,4.210,12582912
tiling_dynamic,testes/metade_4096.pgm,4,2,10.437,4.100,12582912
tiling_dynamic,testes/metade_4096.pgm,4,3,10.315,4.093,12582912
tiling_dynamic,testes/metade_4096.pgm,8,1,10.814,2.705,12582912
tiling_dynamic,testes/metade_4096.pgm,8,2,10.326,2.997,12582912
tiling_dynamic,testes/metade_4096.pgm,8,3,10.301,2.736,12582912
tiling_dynamic,testes/metade_4096.pgm,12,1,10.864,2.534,12582912
tiling_dynamic,testes/metade_4096.pgm,12,2,10.476,2.471,12582912
tiling_dynamic,testes/metade_4096.pgm,12,3,10.504,2.454,12582912
tiling_dynamic,testes/metade_4096.pgm,16,1,10.777,2.534,12582912
tiling_dynamic,testes/metade_4096.pgm,16,2,10.623,2.679,12582912
tiling_dynamic,testes/metade_4096.pgm,16,3,10.594,2.461,12582912
